id,casrn,tri_chemical_id,srs_id,casrn,source_chemical_name,tri_chemical_name,Other common names,NJ Right to Know FactSheet (URL),Carcinogens,Carcinogenicity source,Developmental or Reproductive Toxicants,Developmental / Reproductive Toxicity sources,Mutagens,Mutagen source,Neurotoxicants,Neuro source,Endocrine Disruptors,Endocrine Source,Asthmagens,Asthmagen Source
9ab8c273-4d0e-44a0-968c-0a68799c540e,0100-01-06,100016,19109,100-01-06,p-Nitroaniline,p-Nitroaniline,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1548.pdf,,,,,,,,,Yes,S3,,
9ab8c2c4-7fab-4ca3-857b-77d006906f2a,0100-02-07,100027,19117,100-02-07,4-Nitrophenol (p-Nitrophenol),4-Nitrophenol,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1390.pdf,,,,,,,,,Yes,S3,,
9ab8bdcf-ab02-45ab-84f2-f173d2023fa7,100-25-4,100254,,100-25-4,p-Dinitrobenzene,,,,,,Yes,S4,,,,,,,,
9ab8bea3-84f0-4d9d-8724-f6daf84c2b82,100-41-4,100414,19406,100-41-4,Ethylbenzene,Ethylbenzene,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0851.pdf,Yes,"S4, S11, S18",Yes ,S14,Yes,S11,,,Yes,S3,Yes,S8
9ab8c5c9-8374-4feb-82c8-1993a862b5e8,100-42-5,100425,19414,100-42-5,Styrene,Styrene,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1748.pdf,Yes,"S4, S14,S16, S19, S18",Yes ,S14,,,Yes ,S7,Yes,S3,Yes,"S8, S17"
9ab8b730-59c2-485b-ac41-cca1f72857d7,100-44-7,100447,19430,100-44-7,Benzyl chloride,Benzyl chloride,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0217.pdf,Yes,"S4,  S11, S14, S19",,,,,,,Yes,S3,Yes,S8
9ab8c32e-7649-4f37-b2fe-0801d8537476,100-75-4,100754,19695,100-75-4,N-Nitrosopiperidine,N-Nitrosopiperidine,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1412.pdf,Yes,"S4, S16, S18",,,,,,,,,,
9ab8c387-c667-485c-909c-09b58d8a2819,10028-15-6,10028156,166678,10028-15-6,Ozone,Ozone,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1451.pdf,,,,,,,,,,,Yes,S8
9ab8c000-47a8-4d53-9bcb-070a5b7dc3ad,10034-93-2,10034932,166959,10034-93-2,Hydrazine sulfate (1:1),Hydrazine sulfate (1:1),,https://www.nj.gov/health/eoh/rtkweb/documents/fs/2360.pdf,Yes,"S4, S11, S14, S18",,,,,,,,,,
9ab8b932-4ad0-4354-a687-1f08ca513f35,10049-04-04,10049044,167296,10049-04-4,Chlorine dioxide,Chlorine dioxide,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0368.pdf,,,,,,,,,Yes,S3,Yes,S8
9ab8bc82-9273-4623-8727-76cb856b82c9,10061-02-06,10061026,,10061-02-6,"trans-1,3-Dichloropropene",,,,Yes,S18,,,,,,,,,,
9ab8b67d-99e3-43ca-b43a-658574c550c7,0101-05-03,101053,,101-05-3,Anilazine,,,,,,,,,,,,,,,
9ab8c156-70eb-4c5b-a833-704e9312c796,101-14-4,101144,19943,101-14-4,"4,4'-Methylenebis(2-chloroaniline)","4,4'-Methylenebis(2-chloroaniline)",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1250.pdf,Yes," S14, S16, S19, S18",,,,,,,,,Yes,S8
9ab8c15e-95c3-45ed-8627-637029647cf9,101-61-1,101611,,101-61-1,"4,4'-Methylenebis(N,N-dimethyl)benzenamine (4,4'-Methylenebis[N,N-dimethylaniline])",,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1252.pdf,Yes," S11, S14, S16, S18",,,,,,,,,,
9ab8c91b-0035-4281-bef9-7bc33ce5f9dc,101-68-8,101688,,101-68-8,"4,4'-Methylenedi(phenyl isocyanate)",,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1253.pdf,,,,,,,,,,,Yes,"S8, S11"
9ab8c16e-d13b-4f8b-8c45-db2d43157dcb,101-77-9,101779,20347,101-77-9,"4,4'-Methylenedianiline","4,4'-Methylenedianiline",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1256.pdf,Yes," S11, S14, S16, S18",,,,,,,Yes,S3,Yes,S8
9ab8bb24-49e7-455a-9be2-06213cb98c64,101-80-4,101804,20362,101-80-4,"4,4'-Diaminodiphenyl ether","4,4'-Diaminodiphenyl ether",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0612.pdf,Yes,"S4, S11, S14, S16, S18",,,Yes,"S11, S14 ",,,Yes,S3,,
9ab8bd14-c4ca-4595-b662-f8a5a71b62d8,101-90-6,101906,20446,101-90-6,Diglycidyl resorcinol ether,Diglycidyl resorcinol ether,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/2054.pdf,Yes,"S4,  S14, S16, S18",,,,,,,,,,
9ab8c71f-6aa7-462c-937b-f0b93fc69894,101200-48-0,101200480,611475,101200-48-0,Tribenuron-methyl,Tribenuron-methyl,,,,,,,,,,,Yes,S3,,
9ab8b781-f5f7-4159-9b1f-28d4a6bc59ec,10294-34-5,10294345,169995,10294-34-5,Boron trichloride,Boron trichloride,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0245.pdf,,,,,,,,,,,,
9ab8c8b9-8e37-4674-8de5-db94af5e1c01,10347-54-3,10347543,,10347-54-3,"1,4-Bis(methylisocyanate)cyclohexane (1,4-Bis(isocyanatomethyl)cyclohexane)",,,,,,,,,,,,,,,
9ab8b9a5-6802-4d7f-9a66-6d7a9902dc7f,0104-12-1,104121,,104-12-1,p-Chlorophenyl isocyanate,,,,,,,,,,,,,,,
9ab8ca42-e723-4e95-98c4-3032a85e172f,104-40-5,104405,,104-40-5,4-Nonylphenol (p-Nonylphenol),,,,,,,,,,,,Yes,"S3, S11, S14",,
9ab8c933-61ff-4415-8e80-e33502660d27,104-49-4,104494,,104-49-4,"1,4-Phenylene diisocyanate",,,,,,,,,,,,,,,
9ab8b695-cc57-4eb2-b040-afb97edb39e7,104-94-9,104949,,104-94-9,p-Anisidine,,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/2893.pdf,,,,,,,,,,,,
9ab8c556-8ded-4c94-9f94-98f9aebaeb6f,10453-86-8,10453868,,10453-86-8,Resmethrin,,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/3450.pdf,Yes,S4,Yes,S4,,,,,,,,
9ab8bda7-2bdb-47c7-b2bf-d066c1d8f18d,105-67-9,105679,22970,105-67-9,"2,4-Dimethylphenol","2,4-Dimethylphenol",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0764.pdf,,,,,,,,,,,,
9ab8c83c-5cf1-414a-80c8-e0234645de3d,106-42-3,106423,23580,106-42-3,p-Xylene,p-Xylene,,,,,,,,,,,Yes,S3,,
9ab8ba59-145a-469c-aeec-842220709f8a,106-44-5,106445,23606,106-44-5,p-Cresol,p-Cresol,,,,,,,,,,,Yes,S3,,
