Substance Number;Common Name;Chemical Name;CAS Number;DOT Number;SHHS List;synonym;Source 1;CA;CO;MU;TE;F4;F3;F2;R4;R3;R2;R1;Source 2;Source 3;Source 4;Source 5;Source 6;Source 7;Source 8;Source 14;Source 15;Source 17;Source 18;Source 19;Source 20;Source 21;Source 22;non prefix
0001;ACETALDEHYDE;ACETALDEHYDE;             75-07-0;1089;#;;1;CA;;MU;TE;F4;;;;;R2;;2;3;4;5;6;7;8;;15;17;18;;20;21;22;ACETALDEHYDE
0002;ACETALDEHYDE AMMONIA;ETHANOL, 1-AMINO-;             75-39-8;1841;;;;;;;;;;;;;;;;3;;;;;;;;17;;;;;;ACETALDEHYDEAMMONIA
0003;ACETALDEHYDE OXIME;ACETALDEHYDE, OXIME;            107-29-9;2332;#;;;;;;;;F3;;;;;R1;;3;;;;;;;;17;;;;;;ACETALDEHYDEOXIME
0004;ACETIC ACID;ACETIC ACID;             64-19-7;2789;#;;1;;CO;;;;;F2;;;;;2;3;4;;;;;;15;17;;;20;;;ACETICACID
0005;ACETIC ANHYDRIDE;ACETIC ACID, ANHYDRIDE;            108-24-7;1715;#;;1;;CO;;;;;F2;;;;R1;2;3;4;;;;;;15;17;;;20;;;ACETICANHYDRIDE
0006;ACETONE;2-PROPANONE;             67-64-1;1090;#;;1;;;;;;F3;;;;;;2;3;4;;;;8;;15;17;;;20;21;;ACETONE
0007;ACETONE CYANOHYDRIN;PROPANENITRILE, 2-HYDROXY-2-METHYL-;             75-86-5;1541;#;;;;;;;;;F2;;;R2;;2;3;4;;6;;;;15;17;18;19;20;21;;ACETONECYANOHYDRIN
0008;ACETONITRILE;ACETONITRILE;             75-05-8;1648;#;;1;;;;;;F3;;;;;;2;3;4;;6;;8;;15;17;18;;20;21;;ACETONITRILE
0009;ACETYL ACETONE PEROXIDE;2,4-PENTANEDIONE, PEROXIDE;          37187-22-7;3105;#;;;;;;;;F3;;;R3;;;;3;;;;;;;;17;;;;;;ACETYLACETONEPEROXIDE
0010;2-ACETYLAMINOFLUORENE;ACETAMIDE, N-9H-FLUOREN-2-YL-;             53-96-3;;#;;1;CA;;MU;;;;;;;;;;;4;5;6;;;;;;18;;20;21;;ACETYLAMINOFLUORENE
0011;ACETYL BENZOYL PEROXIDE;PEROXIDE, ACETYL BENZOYL;            644-31-5;3105;;;;;;;;;;;;;;;;3;;;;;;;;17;;;;;;ACETYLBENZOYLPEROXIDE
0012;ACETYL BROMIDE;ACETYL BROMIDE;            506-96-7;1716;#;;;;CO;;;;;;;;R2;;;3;;;;;;;;17;;;20;;;ACETYLBROMIDE
0013;ACETYL CHLORIDE;ACETYL CHLORIDE;             75-36-5;1717;#;;;;CO;;;;F3;;;;R2;;;3;;;;;8;;15;17;;;20;21;;ACETYLCHLORIDE
0014;ACETYL CYCLOHEXANE SULFONYL PEROXIDE;PEROXIDE, ACETYL CYCLOHEXYLSULFONYL;           3179-56-4;3112;;;;;;;;;;F2;;;;;;3;;;;;;;;17;;;;;;ACETYLCYCLOHEXANESULFONYPEROXIDE
0015;ACETYLENE;ETHYNE;             74-86-2;1001;#;;;;;;;F4;;;;R3;;;2;3;4;;6;;;;15;17;;;;;22;ACETYLENE
0016;ACETYLENE TETRABROMIDE;ETHANE, 1,1,2,2-TETRABROMO-;             79-27-6;2504;;;1;;;;;;;;;;;R1;2;3;4;;;;;;15;17;;;;;;ACETYLENETETRABROMIDE
0017;ACETYL IODIDE;ACETYL IODIDE;            507-02-8;1898;#;;;;CO;;;;;;;;;;;3;;;;;;;;17;;;;;;ACETYLIODIDE
0018;ACETYL METHYL CARBINOL;2-BUTANONE, 3-HYDROXY-;            513-86-0;2621;;;;;;;;;;F2;;;;;;3;;;;;;;;17;;;;;;ACETYLMETHYLCARBINOL
0019;ACETYL PEROXIDE;PEROXIDE, DIACETYL;            110-22-5;2084;#;;;;;;;;;F2;R4;;;;;3;;;;;;;15;17;;;;;;ACETYLPEROXIDE
0021;ACROLEIN;2-PROPENAL;            107-02-8;1092;#;;1;;;;;;F3;;;R3;;;2;3;4;;6;7;8;14;15;17;18;19;20;21;22;ACROLEIN
0022;ACRYLAMIDE;2-PROPENAMIDE;             79-06-1;2074;#;;1;CA;;;;;;F2;;;R2;;2;3;4;5;6;7;8;;15;17;18;19;20;21;;ACRYLAMIDE
0023;ACRYLIC ACID;2-PROPENOIC ACID;             79-10-7;2218;#;;;;CO;;;;;F2;;;R2;;2;3;4;;6;7;8;;15;17;18;;20;21;;ACRYLICACID
